second,Volt
-1.12E-03,-7.24E-01
-1.12E-03,-7.24E-01
-1.12E-03,-7.24E-01
-1.12E-03,-7.24E-01
-1.11E-03,-6.83E-01
-1.11E-03,-6.83E-01
-1.11E-03,-6.83E-01
-1.10E-03,-6.83E-01
-1.10E-03,-6.43E-01
-1.10E-03,-6.43E-01
-1.10E-03,-6.03E-01
-1.09E-03,-6.03E-01
-1.09E-03,-5.63E-01
-1.09E-03,-5.63E-01
-1.09E-03,-5.63E-01
-1.08E-03,-5.63E-01
-1.08E-03,-5.23E-01
-1.08E-03,-5.23E-01
-1.08E-03,-4.82E-01
-1.07E-03,-4.82E-01
-1.07E-03,-4.82E-01
-1.07E-03,-4.42E-01
-1.07E-03,-4.42E-01
-1.06E-03,-4.42E-01
-1.06E-03,-4.02E-01
-1.06E-03,-4.02E-01
-1.06E-03,-3.62E-01
-1.05E-03,-3.62E-01
-1.05E-03,-3.62E-01
-1.05E-03,-3.22E-01
-1.05E-03,-3.22E-01
-1.04E-03,-3.22E-01
-1.04E-03,-2.81E-01
-1.04E-03,-2.81E-01
-1.04E-03,-2.41E-01
-1.03E-03,-2.41E-01
-1.03E-03,-2.41E-01
-1.03E-03,-2.41E-01
-1.03E-03,-2.01E-01
-1.02E-03,-2.01E-01
-1.02E-03,-1.61E-01
-1.02E-03,-1.21E-01
-1.02E-03,-1.61E-01
-1.01E-03,-1.21E-01
-1.01E-03,-1.21E-01
-1.01E-03,-8.04E-02
-1.00E-03,-8.04E-02
-1.00E-03,-4.02E-02
-1.00E-03,-4.02E-02
-9.97E-04,-4.02E-02
-9.95E-04,0.00E+00
-9.92E-04,0.00E+00
-9.90E-04,4.02E-02
-9.87E-04,4.02E-02
-9.84E-04,4.02E-02
-9.82E-04,8.04E-02
-9.79E-04,8.04E-02
-9.77E-04,8.04E-02
-9.74E-04,1.21E-01
-9.72E-04,1.21E-01
-9.69E-04,1.21E-01
-9.67E-04,1.61E-01
-9.64E-04,1.61E-01
-9.61E-04,2.01E-01
-9.59E-04,2.41E-01
-9.56E-04,2.41E-01
-9.54E-04,2.41E-01
-9.51E-04,2.41E-01
-9.49E-04,2.81E-01
-9.46E-04,2.81E-01
-9.44E-04,3.22E-01
-9.41E-04,3.22E-01
-9.38E-04,3.62E-01
-9.36E-04,3.62E-01
-9.33E-04,3.62E-01
-9.31E-04,3.62E-01
-9.28E-04,4.02E-01
-9.26E-04,4.02E-01
-9.23E-04,4.42E-01
-9.20E-04,4.42E-01
-9.18E-04,4.42E-01
-9.15E-04,4.42E-01
-9.13E-04,4.82E-01
-9.10E-04,5.23E-01
-9.08E-04,5.23E-01
-9.05E-04,5.23E-01
-9.03E-04,5.63E-01
-9.00E-04,5.63E-01
-8.97E-04,5.63E-01
-8.95E-04,5.63E-01
-8.92E-04,6.03E-01
-8.90E-04,6.03E-01
-8.87E-04,6.03E-01
-8.85E-04,6.43E-01
-8.82E-04,6.43E-01
-8.80E-04,6.43E-01
-8.77E-04,6.43E-01
-8.74E-04,6.83E-01
-8.72E-04,6.83E-01
-8.69E-04,6.83E-01
-8.67E-04,6.83E-01
-8.64E-04,7.24E-01
